S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
                                        122,MKHL,                                        367.10,                                        0.00,                                        0.00,                                        360.20,                                        377.00,                                        360.20,"                                        1,600.00",                                        367.10
                                        123,MKJC,                                        478.00,                                        -5.00,                                        -1.04,                                        491.00,                                        491.00,                                        476.20,"                                        2,427.00",                                        483.00
                                        124,MKLB,                                        638.00,                                        1.00,                                        0.16,                                        638.00,                                        638.00,                                        638.00,                                        10.00,                                        637.00
                                        125,MLBL,                                        320.00,                                        -0.20,                                        -0.06,                                        325.00,                                        325.00,                                        320.00,"                                        1,460.00",                                        320.20
                                        126,MLBS,                                        660.00,                                        29.40,                                        4.66,                                        635.00,                                        660.00,                                        635.00,                                        460.00,                                        630.60
                                        127,MLBSL,"                                        1,568.00",                                        -13.00,                                        -0.82,"                                        1,600.00","                                        1,600.00","                                        1,568.00",                                        74.00,"                                        1,581.00"
                                        128,MMF1,                                        7.02,                                        -0.28,                                        -3.84,                                        7.16,                                        7.16,                                        7.02,                                        300.00,                                        7.30
                                        129,MMFDB,                                        529.00,                                        4.00,                                        0.76,                                        525.00,                                        529.00,                                        516.20,                                        466.00,                                        525.00
                                        130,MMKJL,                                        415.40,                                        -8.60,                                        -2.03,                                        415.60,                                        430.00,                                        408.10,                                        870.00,                                        424.00
                                        131,MNBBL,                                        353.00,                                        0.80,                                        0.23,                                        350.40,                                        355.00,                                        350.40,                                        534.00,                                        352.20
                                        132,MPFL,                                        352.00,                                        -5.00,                                        -1.40,                                        362.00,                                        362.90,                                        352.00,                                        500.00,                                        357.00
                                        133,MSHL,                                        620.10,                                        3.00,                                        0.49,                                        606.20,                                        629.40,                                        606.20,                                        468.00,                                        617.10
                                        134,NABIL,                                        436.00,                                        -0.50,                                        -0.11,                                        436.50,                                        440.00,                                        432.10,"                                        16,379.00",                                        436.50
                                        135,NADEP,                                        507.80,                                        -0.20,                                        -0.04,                                        518.10,                                        518.10,                                        507.80,                                        277.00,                                        508.00
                                        136,NBF2,                                        8.00,                                        -0.12,                                        -1.48,                                        8.00,                                        8.01,                                        8.00,"                                        2,300.00",                                        8.12
                                        137,NBF3,                                        7.23,                                        -0.02,                                        -0.28,                                        7.20,                                        7.23,                                        7.20,                                        435.00,                                        7.25
                                        138,NBL,                                        220.00,                                        1.00,                                        0.46,                                        219.00,                                        222.90,                                        219.00,"                                        4,533.00",                                        219.00
                                        139,NESDO,"                                        1,524.00",                                        -1.20,                                        -0.08,"                                        1,555.00","                                        1,555.00","                                        1,524.00",                                        130.00,"                                        1,525.20"
