S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
                                        95,JBLB,"                                        1,253.10",                                        -12.90,                                        -1.02,"                                        1,250.00","                                        1,270.00","                                        1,245.20","                                        2,822.00","                                        1,266.00"
                                        96,JFL,                                        363.00,                                        -3.00,                                        -0.82,                                        373.00,                                        383.50,                                        361.20,"                                        20,151.00",                                        366.00
                                        97,JOSHI,                                        412.00,                                        37.00,                                        9.87,                                        375.00,                                        412.00,                                        368.00,"                                        230,694.00",                                        375.00
                                        98,JSLBB,                                        873.90,                                        10.90,                                        1.26,                                        854.00,                                        876.90,                                        854.00,                                        476.00,                                        863.00
                                        99,KBL,                                        145.00,                                        -1.00,                                        -0.68,                                        145.00,                                        147.00,                                        143.00,"                                        185,666.00",                                        146.00
                                        100,KBSH,"                                        1,005.00",                                        -47.00,                                        -4.47,"                                        1,065.00","                                        1,070.00","                                        1,005.00",                                        960.00,"                                        1,052.00"
                                        101,KDBY,                                        8.54,                                        -0.03,                                        -0.35,                                        8.40,                                        8.57,                                        8.40,"                                        3,200.00",                                        8.57
                                        102,KDL,                                        765.00,                                        -6.00,                                        -0.78,                                        758.20,                                        775.00,                                        758.20,"                                        4,118.00",                                        771.00
                                        103,KEF,                                        8.01,                                        0.01,                                        0.12,                                        7.85,                                        8.01,                                        7.85,"                                        4,500.00",                                        8.00
                                        104,KKHC,                                        249.90,                                        -6.20,                                        -2.42,                                        260.00,                                        264.00,                                        244.00,"                                        21,805.00",                                        256.10
                                        105,KLBSL,                                        868.00,                                        -1.00,                                        -0.12,                                        852.00,                                        868.00,                                        851.70,                                        266.00,                                        869.00
                                        106,KMCDB,                                        645.00,                                        2.90,                                        0.45,                                        654.90,                                        654.90,                                        638.10,"                                        4,846.00",                                        642.10
                                        107,KPCL,                                        405.00,                                        -9.90,                                        -2.39,                                        415.00,                                        415.00,                                        402.00,"                                        8,175.00",                                        414.90
                                        108,KRBL,                                        366.90,                                        -7.10,                                        -1.90,                                        380.00,                                        380.00,                                        366.70,"                                        30,599.00",                                        374.00
                                        109,KSBBL,                                        349.50,                                        1.40,                                        0.40,                                        345.00,                                        357.90,                                        343.00,"                                        38,593.00",                                        348.10
                                        110,KSBBLP,                                        102.00,                                        0.00,                                        0.00,                                        102.00,                                        102.00,                                        102.00,"                                        200,000.00",                                        175.00
                                        111,LBBL,                                        387.00,                                        -6.00,                                        -1.53,                                        393.00,                                        400.00,                                        385.10,"                                        14,242.00",                                        393.00
                                        112,LEC,                                        194.60,                                        -0.90,                                        -0.46,                                        199.00,                                        200.00,                                        193.10,"                                        124,979.00",                                        195.50
                                        113,LEMF,                                        9.55,                                        0.05,                                        0.53,                                        9.64,                                        9.69,                                        9.55,"                                        114,500.00",                                        9.50
                                        114,LICN,"                                        1,337.50",                                        -0.50,                                        -0.04,"                                        1,348.00","                                        1,353.90","                                        1,316.10","                                        2,385.00","                                        1,338.00"
                                        115,LLBS,                                        752.30,                                        -4.30,                                        -0.57,                                        755.00,                                        755.00,                                        752.00,"                                        1,046.00",                                        756.60
                                        116,LSL,                                        159.00,                                        -1.70,                                        -1.06,                                        158.00,                                        163.00,                                        158.00,"                                        48,780.00",                                        160.70
                                        117,LUK,                                        8.01,                                        -0.19,                                        -2.32,                                        8.10,                                        8.10,                                        8.01,"                                        13,800.00",                                        8.20
                                        118,LVF2,                                        7.82,                                        -0.02,                                        -0.26,                                        7.84,                                        7.90,                                        7.79,"                                        1,900.00",                                        7.84
                                        119,MAKAR,                                        421.00,                                        11.00,                                        2.68,                                        401.80,                                        427.00,                                        395.10,"                                        18,590.00",                                        410.00
                                        120,MANDU,                                        700.00,                                        -6.00,                                        -0.85,                                        699.00,                                        700.00,                                        681.00,"                                        7,472.00",                                        706.00
                                        121,MBJC,                                        315.00,                                        -7.00,                                        -2.17,                                        322.00,                                        326.00,                                        315.00,"                                        37,115.00",                                        322.00
                                        122,MBL,                                        180.00,                                        2.00,                                        1.12,                                        176.00,                                        180.90,                                        176.00,"                                        29,756.00",                                        178.00
                                        123,MBLD2085,"                                        1,005.00",                                        4.90,                                        0.49,"                                        1,002.10","                                        1,005.00","                                        1,002.10",                                        410.00,"                                        1,000.10"
                                        124,MCHL,                                        338.00,                                        -2.00,                                        -0.59,                                        334.00,                                        346.00,                                        330.00,"                                        19,222.00",                                        340.00
                                        125,MDB,                                        393.00,                                        -7.90,                                        -1.97,                                        406.70,                                        406.70,                                        393.00,"                                        11,811.00",                                        400.90
                                        126,MEHL,                                        296.00,                                        -14.00,                                        -4.52,                                        303.90,                                        316.00,                                        288.40,"                                        48,555.00",                                        310.00
                                        127,MEL,                                        221.00,                                        -4.20,                                        -1.87,                                        221.00,                                        234.40,                                        221.00,"                                        78,756.00",                                        225.20
                                        128,MEN,                                        601.30,                                        -14.80,                                        -2.40,                                        612.50,                                        621.00,                                        601.00,"                                        56,131.00",                                        616.10
                                        129,MERO,                                        538.00,                                        1.80,                                        0.34,                                        532.00,                                        544.90,                                        526.20,"                                        3,841.00",                                        536.20
                                        130,MFIL,                                        510.00,                                        -0.20,                                        -0.04,                                        513.00,                                        524.90,                                        506.20,"                                        27,827.00",                                        510.20
                                        131,MFLD85,                                        924.00,                                        -16.10,                                        -1.71,                                        958.00,                                        958.90,                                        924.00,                                        160.00,                                        940.10
                                        132,MHCL,                                        625.00,                                        12.00,                                        1.96,                                        600.80,                                        637.00,                                        561.70,"                                        83,921.00",                                        613.00
                                        133,MHL,                                        405.90,                                        -5.10,                                        -1.24,                                        409.00,                                        417.00,                                        386.00,"                                        16,819.00",                                        411.00
                                        134,MHNL,                                        251.00,                                        -11.00,                                        -4.20,                                        258.40,                                        264.00,                                        251.00,"                                        29,262.00",                                        262.00
                                        135,MKCL,                                        940.00,                                        4.30,                                        0.46,                                        930.00,                                        970.00,                                        930.00,"                                        17,363.00",                                        935.70
                                        136,MKHC,                                        300.00,                                        -5.00,                                        -1.64,                                        300.00,                                        310.00,                                        295.20,"                                        37,827.00",                                        305.00
